Dataset,Model,Accuracy,Precision,Recall,F1 Score,AUC,Train Time (s),Score Time (s)
Diabetes,Logistic Regression,0.7746965452847806,0.7315061921148582,0.5710691823899371,0.6388327572528987,0.8303878406708595,0.01387166976928711,0.025375747680664064
Diabetes,SVM,0.7616840675664205,0.7021776768374972,0.5635220125786163,0.6226215878928726,0.8165108315863032,0.10383038520812989,0.04241499900817871
Diabetes,Random Forest,0.7668873610050081,0.690479375696767,0.604472396925227,0.644069264069264,0.8226464011180992,0.3344921112060547,0.03655152320861817
Diabetes,XGBoost,0.747347423818012,0.6518952852458814,0.593151642208246,0.6197793462240777,0.7914318658280923,0.2664835453033447,0.03605551719665527
Diabetes,KNN,0.7278244631185808,0.6280840537375492,0.5523410202655485,0.5858802994403208,0.7772655485674352,0.008530902862548827,0.03279953002929688
Heart,Logistic Regression,0.8415846994535517,0.8195348602612818,0.9151515151515153,0.8638063733467412,0.8900753567420233,0.010045623779296875,0.01997823715209961
Heart,SVM,0.8217486338797816,0.8097953449645031,0.890909090909091,0.8459135271635272,0.8884800384800385,0.025490999221801758,0.02583284378051758
Heart,Random Forest,0.815191256830601,0.8131993963403131,0.8666666666666666,0.8370918284327612,0.9031906365239699,0.23990163803100586,0.03627834320068359
Heart,XGBoost,0.7856284153005465,0.7872860360360361,0.8363636363636363,0.8087885326241491,0.8673480840147508,0.19321646690368652,0.031053972244262696
Heart,KNN,0.7984699453551913,0.7917607546968013,0.8727272727272727,0.8278281367755053,0.8624418791085458,0.008072471618652344,0.027881574630737305
Parkinsons,Logistic Regression,0.8666666666666666,0.8931166806673906,0.9386206896551725,0.9134911956399108,0.904955300127714,0.01519770622253418,0.017571783065795897
Parkinsons,SVM,0.8717948717948717,0.8610014091631738,0.993103448275862,0.9216754784377734,0.8906257982120052,0.011250019073486328,0.018636131286621095
Parkinsons,Random Forest,0.8871794871794872,0.9085950773158782,0.9521839080459771,0.9277096540513685,0.961596424010217,0.23509650230407714,0.02957491874694824
Parkinsons,XGBoost,0.9282051282051281,0.9420953837597331,0.9659770114942529,0.953206982446391,0.9736653895274585,0.12153444290161133,0.030453014373779296
Parkinsons,KNN,0.8871794871794872,0.9208982670606698,0.9321839080459771,0.9252162253638471,0.9717241379310344,0.004477119445800782,0.9551730632781983
